<매칭 테이블>
oracle table	impala table	oracletable매칭기호	impalatable매칭기호
l	component_id	STRING
l	chip_qty	BIGINT
l	real_chip_qty	BIGINT
l	event_chip_qty	BIGINT
l	from_process_unit	STRING
l	map_mark	STRING
l	lot_status_seg	STRING
l	fullauto_flag	STRING
l	npw_carrier_id	STRING
l	rework_main_step	STRING
l	lot_attr_ingot_id	STRING
l	reserve_time	STRING
l	batch_lot_order	STRING
l	eil_transn_yn	STRING
l	eil_module_id	STRING
l	eil_proc_type	STRING
l	eil_proc_eqp_vals	STRING
l	peg_cs_type	STRING
l	peg_wo_type_list	STRING
l	peg_purps_type	STRING
l	slot_id	STRING
l	sys_line_id	STRING
l	wafer_event_id	STRING
l	carr_id	STRING
l	line_id	STRING
l	tkout_date	DATE
m	parent_object_id	STRING
m	attr_name	STRING
m	attr_value	STRING
n	workorderid	STRING
n	carrierid	STRING
n	lotid	STRING
n	materialid	STRING
n	createtime	STRING
n	timestamp	STRING
n	workorderflag	STRING
n	errorcode	STRING
n	errormessage	STRING
n	errortime	STRING
n	waittime	DOUBLE
n	tkintype	STRING
n	batchid	STRING
n	replymbx	STRING
n	ppid	STRING
n	reticleid	STRING
n	extrainformation	STRING
n	msgstorage	STRING
n	subppid	STRING
n	workcompletereplyflag	STRING
n	toolkind	STRING
n	previousworkorderid	STRING
n	nextworkorderid	STRING
n	workordergroupid	STRING
n	workordergroupsequence	DOUBLE
n	reservedtoolid	STRING
n	reservedtooltype	STRING
n	unloadrequesttime	STRING
n	unloadcompletetime	STRING
n	unloadtoolid	STRING
n	loadcompletetime	STRING
n	tkintime	STRING
n	processstarttime	STRING
n	processendtime	STRING
n	processcompletetime	STRING
n	tkouttime	STRING
n	workorderreservetime	STRING
n	currentlocation	STRING
n	currentport	STRING
n	emptyflag	STRING
n	alternateflag	STRING
n	movetype	STRING
n	movestatus	STRING
n	movepriority	STRING
n	initialtoolassigntime	STRING
n	initialtoolid	STRING
n	finaltoolassigntime	STRING
n	finaltoolid	STRING
n	proctostoreflag	STRING
n	proctostorestarttime	STRING
n	proctostoreendtime	STRING
n	proctostoresrctool	STRING
n	proctostoredesttool	STRING
n	storetostoreflag	STRING
n	storetostorestarttime	STRING
n	storetostoreendtime	STRING
n	storetostoresourcetool	STRING
n	storetostoredesttool	STRING
n	storetostorealtflag	STRING
n	storetostorealtstarttime	STRING
n	storetostorealtendtime	STRING
n	storetostorealtsrctool	STRING
n	storetostorealtdesttool	STRING
n	storetostoreviaflag	STRING
n	storetostoreviastarttime	STRING
n	storetostoreviaendtime	STRING
n	storetostoreviasrctool	STRING
n	storetostorageviadesttool	STRING
n	storetoprocflag	STRING
n	storetoprocstarttime	STRING
n	storetoprocendtime	STRING
n	storetoprocsrctool	STRING
n	storetoprocdesttool	STRING
n	proctoprocflag	STRING
n	proctoprocstarttime	STRING
n	proctoprocendtime	STRING
n	proctoprocsrctool	STRING
n	proctoprocdesttool	STRING
n	storetostoreviadesttool	STRING
n	storetostoresrctool	STRING
n	finallocation	STRING
n	moveflag	STRING
n	storeinflag	STRING
n	storeinrequesttime	STRING
n	storeintime	STRING
n	storeintool	STRING
n	storeoutflag	STRING
n	storeoutrequesttime	STRING
n	storeouttime	STRING
n	storeouttool	STRING
n	baytobayflag	STRING
n	baytobaystarttime	STRING
n	baytobayendtime	STRING
n	baytobaysrcbay	STRING
n	baytobaydestbay	STRING
n	processid	STRING
n	stepseq	STRING
n	txnsequence	DOUBLE
n	currentmovetype	STRING
n	pretkouttime	STRING
n	move_jobid	STRING
n	fullautoflag	STRING
n	mssscore	STRING
n	fa_object1	STRING
n	fa_object2	STRING
n	fa_object3	STRING
n	fa_object4	STRING
n	fa_object5	STRING
n	fa_object6	STRING
n	fa_object7	STRING
n	fa_object8	STRING
n	fa_object9	STRING
n	jobinfoid	STRING
n	foupassigntype	STRING
n	currentloclineid	STRING
n	currentsublocation	STRING
n	sourcelocation	STRING



<oracletable 컬럼 매칭>
oracletable매칭기호	column_name	data_type
L	LOT_TRANSN_TYPE	VARCHAR2(40)
L	LOT_TRANSN_TIME	VARCHAR2(18)
L	LAST_TRANSN_SYS_ID	VARCHAR2(45)
L	LOT_SYS_ID	VARCHAR2(45)
L	LOT_TYPE	VARCHAR2(4)
L	STEP_SEQ	VARCHAR2(16)
L	WIP_ATTRIBUTE	VARCHAR2(40)
L	STEP_ID	VARCHAR2(51)
L	DELAY_TIME	NUMBER(22)
L	NEW_ATTR_VALUE	VARCHAR2(255)
L	DELAY_RESTRC_TIME	NUMBER(22)
L	ORIGIN_ATTR_VALUE	VARCHAR2(255)
L	REWORK_YN	VARCHAR2(10)
L	COMMENT_CODE	VARCHAR2(40)
L	PROCESS_FINISH_DATE	DATE
L	COMPONENT_QTY	NUMBER(22)
L	TKIN_DATE	DATE
L	BRIEF_DESC	VARCHAR2(4000)
L	DCOL_DATE	DATE
L	RECENT_TKOUT_TIME	VARCHAR2(18)
L	PROCESS_START_DATE	DATE
L	CURRENT_LINE_ID	VARCHAR2(40)
L	VIRTUAL_LINE_ID	VARCHAR2(10)
L	ROOM_NAME	VARCHAR2(20)
L	TKIN_OPERTR_ID	VARCHAR2(40)
L	LAYER_ID	VARCHAR2(15)
L	ETC_OPERTR_ID	VARCHAR2(40)
L	PPID	VARCHAR2(255)
L	ORIGIN_LINE_ID	VARCHAR2(10)
L	AREA_NAME	VARCHAR2(12)
L	BAY_NAME	VARCHAR2(40)
L	TKIN_BATCH_ID	VARCHAR2(255)
L	LOT_TRANSN_SEQ	NUMBER
L	LOT_PROCESS_PRITY	NUMBER(38)
L	PROCESS_EQP_ID	VARCHAR2(40)
L	LOT_TRANSN_DESC	VARCHAR2(255)
L	LOT_TRANSN_COMMENT	VARCHAR2(255)
L	CHAMBER_ID	VARCHAR2(255)
L	PORT_LOAD_DATE	DATE
L	PORT_UNLOAD_DATE	DATE
L	TO_STEP_SEQ	VARCHAR2(20)
L	RETICLE_ID	VARCHAR2(16)
L	LOT_ID	VARCHAR2(40)
L	LAST_UPDATE_DATE	DATE
L	WIP_TRANSN_PARENT_SYS_ID	VARCHAR2(45)
L	PROCESS_ID	VARCHAR2(16)
L	LINE_ID	VARCHAR2(10)
L	START_COMPNT_QTY	NUMBER(22)
L	LOT_START_TIME	VARCHAR2(18)
